player,team,availability,form_multiplier,reason,source,date
Lionel Messi,Argentina,1.0,1.20,Golden Boot leader with 6 goals (hat trick vs Algeria; brace vs Austria; free kick vs Jordan); exceptional form,research,2026-06-28
Ousmane Dembele,France,1.0,1.15,Red-hot: second-fastest hat trick in World Cup history vs Norway; 4 goals; France look the strongest attack,research,2026-06-28
Kylian Mbappe,France,1.0,1.12,4 goals; France topped Group I with a perfect record and are co-favourites to go deep,research,2026-06-28
Vinicius Junior,Brazil,1.0,1.12,4 goals; primary Brazil threat heading into the knockouts,research,2026-06-28
Erling Haaland,Norway,1.0,1.12,4 goals carrying the Norway attack (rested in the dead-rubber loss to France),research,2026-06-28
Deniz Undav,Germany,1.0,1.08,3 goals and a nailed-on starter though Germany's defence has looked shaky,research,2026-06-28
Harry Kane,England,1.0,1.05,3 goals incl vs Panama; England's clear penalty taker and focal point,research,2026-06-28
Cristiano Ronaldo,Portugal,1.0,1.05,3 goals incl 2 penalties; age a risk over a deep knockout run,research,2026-06-28
Jonathan David,Canada,1.0,1.05,3 goals; Canada reached the R32 as Group B runners-up,research,2026-06-28
Lamine Yamal,Spain,1.0,1.05,2 goals; Spain (Group H winners) are contenders with Yamal central to the attack,research,2026-06-28
